notes,county,fips,education,education_code,year,year_code,deaths,population,crude_rate,crude_rate_ci_lower,crude_rate_ci_upper,mcd_type
nan,"Baldwin County, AL",01003,Not Available,10,2020,2020,12,,,,,T401_heroin
nan,"Jefferson County, AL",01073,9th through 12th grade with no diploma,2,2021,2021,11,,,,,T401_heroin
nan,"Jefferson County, AL",01073,High school graduate or GED completed,3,2021,2021,26,,,,,T401_heroin
nan,"Jefferson County, AL",01073,High school graduate or GED completed,3,2022,2022,10,,,,,T401_heroin
nan,"Jefferson County, AL",01073,Not Available,10,2018,2018,78,,,,,T401_heroin
nan,"Jefferson County, AL",01073,Not Available,10,2019,2019,71,,,,,T401_heroin
nan,"Jefferson County, AL",01073,Not Available,10,2020,2020,67,,,,,T401_heroin
nan,"Shelby County, AL",01117,Not Available,10,2018,2018,12,,,,,T401_heroin
nan,"Anchorage Borough, AK",02020,High school graduate or GED completed,3,2021,2021,10,,,,,T401_heroin
nan,"Anchorage Borough, AK",02020,High school graduate or GED completed,3,2022,2022,13,,,,,T401_heroin
nan,"Anchorage Borough, AK",02020,Not Available,10,2018,2018,17,,,,,T401_heroin
nan,"Anchorage Borough, AK",02020,Not Available,10,2019,2019,18,,,,,T401_heroin
nan,"Anchorage Borough, AK",02020,Not Available,10,2020,2020,15,,,,,T401_heroin
nan,"Cochise County, AZ",04003,Not Available,10,2020,2020,11,,,,,T401_heroin
nan,"Maricopa County, AZ",04013,9th through 12th grade with no diploma,2,2021,2021,11,,,,,T401_heroin
nan,"Maricopa County, AZ",04013,High school graduate or GED completed,3,2021,2021,26,,,,,T401_heroin
nan,"Maricopa County, AZ",04013,High school graduate or GED completed,3,2022,2022,18,,,,,T401_heroin
nan,"Maricopa County, AZ",04013,High school graduate or GED completed,3,2023,2023,13,,,,,T401_heroin
nan,"Maricopa County, AZ",04013,High school graduate or GED completed,3,2024,2024,10,,,,,T401_heroin
nan,"Maricopa County, AZ",04013,Not Available,10,2018,2018,232,,,,,T401_heroin
nan,"Maricopa County, AZ",04013,Not Available,10,2019,2019,160,,,,,T401_heroin
nan,"Maricopa County, AZ",04013,Not Available,10,2020,2020,104,,,,,T401_heroin
nan,"Pima County, AZ",04019,High school graduate or GED completed,3,2021,2021,15,,,,,T401_heroin
nan,"Pima County, AZ",04019,Not Available,10,2018,2018,73,,,,,T401_heroin
nan,"Pima County, AZ",04019,Not Available,10,2019,2019,71,,,,,T401_heroin
nan,"Pima County, AZ",04019,Not Available,10,2020,2020,64,,,,,T401_heroin
nan,"Pinal County, AZ",04021,Not Available,10,2018,2018,11,,,,,T401_heroin
nan,"Yavapai County, AZ",04025,Not Available,10,2019,2019,15,,,,,T401_heroin
nan,"Yavapai County, AZ",04025,Not Available,10,2020,2020,12,,,,,T401_heroin
nan,"Alameda County, CA",06001,High school graduate or GED completed,3,2022,2022,20,,,,,T401_heroin
nan,"Alameda County, CA",06001,High school graduate or GED completed,3,2024,2024,10,,,,,T401_heroin
nan,"Alameda County, CA",06001,Not Available,10,2019,2019,25,,,,,T401_heroin
nan,"Alameda County, CA",06001,Not Available,10,2020,2020,14,,,,,T401_heroin
nan,"Butte County, CA",06007,Not Available,10,2020,2020,13,,,,,T401_heroin
nan,"Contra Costa County, CA",06013,Not Available,10,2018,2018,17,,,,,T401_heroin
nan,"Contra Costa County, CA",06013,Not Available,10,2019,2019,26,,,,,T401_heroin
nan,"Contra Costa County, CA",06013,Not Available,10,2020,2020,16,,,,,T401_heroin
nan,"Kern County, CA",06029,High school graduate or GED completed,3,2021,2021,16,,,,,T401_heroin
nan,"Kern County, CA",06029,Not Available,10,2018,2018,20,,,,,T401_heroin
nan,"Kern County, CA",06029,Not Available,10,2019,2019,36,,,,,T401_heroin
nan,"Kern County, CA",06029,Not Available,10,2020,2020,47,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,9th through 12th grade with no diploma,2,2021,2021,37,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,9th through 12th grade with no diploma,2,2022,2022,33,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,9th through 12th grade with no diploma,2,2023,2023,22,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,9th through 12th grade with no diploma,2,2024,2024,11,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,High school graduate or GED completed,3,2021,2021,92,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,High school graduate or GED completed,3,2022,2022,71,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,High school graduate or GED completed,3,2023,2023,58,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,High school graduate or GED completed,3,2024,2024,35,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,"Some college credit, but not a degree.",4,2021,2021,18,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,"Some college credit, but not a degree.",4,2022,2022,26,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,"Some college credit, but not a degree.",4,2023,2023,18,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,"Some college credit, but not a degree.",4,2024,2024,16,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,Unknown or Not Stated,9,2021,2021,23,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,Unknown or Not Stated,9,2022,2022,10,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,Unknown or Not Stated,9,2023,2023,11,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,Not Available,10,2018,2018,181,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,Not Available,10,2019,2019,237,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,Not Available,10,2020,2020,299,,,,,T401_heroin
nan,"Orange County, CA",06059,High school graduate or GED completed,3,2021,2021,30,,,,,T401_heroin
nan,"Orange County, CA",06059,Not Available,10,2018,2018,90,,,,,T401_heroin
nan,"Orange County, CA",06059,Not Available,10,2019,2019,76,,,,,T401_heroin
nan,"Orange County, CA",06059,Not Available,10,2020,2020,69,,,,,T401_heroin
nan,"Riverside County, CA",06065,9th through 12th grade with no diploma,2,2021,2021,18,,,,,T401_heroin
nan,"Riverside County, CA",06065,High school graduate or GED completed,3,2021,2021,33,,,,,T401_heroin
nan,"Riverside County, CA",06065,High school graduate or GED completed,3,2022,2022,19,,,,,T401_heroin
nan,"Riverside County, CA",06065,High school graduate or GED completed,3,2023,2023,12,,,,,T401_heroin
nan,"Riverside County, CA",06065,High school graduate or GED completed,3,2024,2024,11,,,,,T401_heroin
nan,"Riverside County, CA",06065,"Some college credit, but not a degree.",4,2021,2021,11,,,,,T401_heroin
nan,"Riverside County, CA",06065,Not Available,10,2018,2018,70,,,,,T401_heroin
nan,"Riverside County, CA",06065,Not Available,10,2019,2019,80,,,,,T401_heroin
nan,"Riverside County, CA",06065,Not Available,10,2020,2020,97,,,,,T401_heroin
nan,"Sacramento County, CA",06067,High school graduate or GED completed,3,2021,2021,22,,,,,T401_heroin
nan,"Sacramento County, CA",06067,Not Available,10,2018,2018,16,,,,,T401_heroin
nan,"Sacramento County, CA",06067,Not Available,10,2019,2019,30,,,,,T401_heroin
nan,"Sacramento County, CA",06067,Not Available,10,2020,2020,27,,,,,T401_heroin
nan,"San Bernardino County, CA",06071,9th through 12th grade with no diploma,2,2021,2021,16,,,,,T401_heroin
nan,"San Bernardino County, CA",06071,High school graduate or GED completed,3,2021,2021,22,,,,,T401_heroin
nan,"San Bernardino County, CA",06071,Not Available,10,2018,2018,50,,,,,T401_heroin
nan,"San Bernardino County, CA",06071,Not Available,10,2019,2019,36,,,,,T401_heroin
nan,"San Bernardino County, CA",06071,Not Available,10,2020,2020,60,,,,,T401_heroin
nan,"San Diego County, CA",06073,High school graduate or GED completed,3,2021,2021,29,,,,,T401_heroin
nan,"San Diego County, CA",06073,"Some college credit, but not a degree.",4,2021,2021,10,,,,,T401_heroin
nan,"San Diego County, CA",06073,Not Available,10,2018,2018,87,,,,,T401_heroin
nan,"San Diego County, CA",06073,Not Available,10,2019,2019,113,,,,,T401_heroin
nan,"San Diego County, CA",06073,Not Available,10,2020,2020,96,,,,,T401_heroin
nan,"San Francisco County, CA",06075,High school graduate or GED completed,3,2021,2021,18,,,,,T401_heroin
nan,"San Francisco County, CA",06075,High school graduate or GED completed,3,2022,2022,13,,,,,T401_heroin
nan,"San Francisco County, CA",06075,High school graduate or GED completed,3,2023,2023,11,,,,,T401_heroin
nan,"San Francisco County, CA",06075,"Some college credit, but not a degree.",4,2022,2022,12,,,,,T401_heroin
nan,"San Francisco County, CA",06075,Unknown or Not Stated,9,2021,2021,19,,,,,T401_heroin
nan,"San Francisco County, CA",06075,Unknown or Not Stated,9,2022,2022,13,,,,,T401_heroin
nan,"San Francisco County, CA",06075,Unknown or Not Stated,9,2024,2024,13,,,,,T401_heroin
nan,"San Francisco County, CA",06075,Not Available,10,2018,2018,45,,,,,T401_heroin
nan,"San Francisco County, CA",06075,Not Available,10,2019,2019,70,,,,,T401_heroin
nan,"San Francisco County, CA",06075,Not Available,10,2020,2020,63,,,,,T401_heroin
nan,"San Joaquin County, CA",06077,Not Available,10,2018,2018,13,,,,,T401_heroin
nan,"San Luis Obispo County, CA",06079,Not Available,10,2020,2020,10,,,,,T401_heroin
nan,"Santa Barbara County, CA",06083,Not Available,10,2018,2018,13,,,,,T401_heroin
nan,"Santa Clara County, CA",06085,High school graduate or GED completed,3,2021,2021,11,,,,,T401_heroin
nan,"Santa Clara County, CA",06085,Not Available,10,2018,2018,20,,,,,T401_heroin
nan,"Santa Clara County, CA",06085,Not Available,10,2019,2019,41,,,,,T401_heroin
nan,"Santa Clara County, CA",06085,Not Available,10,2020,2020,28,,,,,T401_heroin
nan,"Santa Cruz County, CA",06087,Not Available,10,2018,2018,13,,,,,T401_heroin
nan,"Santa Cruz County, CA",06087,Not Available,10,2019,2019,14,,,,,T401_heroin
nan,"Santa Cruz County, CA",06087,Not Available,10,2020,2020,10,,,,,T401_heroin
nan,"Shasta County, CA",06089,Not Available,10,2020,2020,11,,,,,T401_heroin
nan,"Sonoma County, CA",06097,Not Available,10,2018,2018,24,,,,,T401_heroin
nan,"Sonoma County, CA",06097,Not Available,10,2019,2019,19,,,,,T401_heroin
nan,"Ventura County, CA",06111,Not Available,10,2018,2018,40,,,,,T401_heroin
nan,"Ventura County, CA",06111,Not Available,10,2019,2019,42,,,,,T401_heroin
nan,"Ventura County, CA",06111,Not Available,10,2020,2020,33,,,,,T401_heroin
nan,"Adams County, CO",08001,Not Available,10,2018,2018,19,,,,,T401_heroin
nan,"Adams County, CO",08001,Not Available,10,2019,2019,17,,,,,T401_heroin
nan,"Adams County, CO",08001,Not Available,10,2020,2020,16,,,,,T401_heroin
nan,"Arapahoe County, CO",08005,Not Available,10,2018,2018,30,,,,,T401_heroin
nan,"Arapahoe County, CO",08005,Not Available,10,2019,2019,29,,,,,T401_heroin
nan,"Arapahoe County, CO",08005,Not Available,10,2020,2020,26,,,,,T401_heroin
nan,"Boulder County, CO",08013,Not Available,10,2019,2019,14,,,,,T401_heroin
nan,"Boulder County, CO",08013,Not Available,10,2020,2020,11,,,,,T401_heroin
nan,"Denver County, CO",08031,High school graduate or GED completed,3,2021,2021,12,,,,,T401_heroin
nan,"Denver County, CO",08031,Not Available,10,2018,2018,38,,,,,T401_heroin
nan,"Denver County, CO",08031,Not Available,10,2019,2019,29,,,,,T401_heroin
nan,"Denver County, CO",08031,Not Available,10,2020,2020,25,,,,,T401_heroin
nan,"El Paso County, CO",08041,High school graduate or GED completed,3,2021,2021,18,,,,,T401_heroin
nan,"El Paso County, CO",08041,High school graduate or GED completed,3,2022,2022,11,,,,,T401_heroin
nan,"El Paso County, CO",08041,Not Available,10,2018,2018,64,,,,,T401_heroin
nan,"El Paso County, CO",08041,Not Available,10,2019,2019,43,,,,,T401_heroin
nan,"El Paso County, CO",08041,Not Available,10,2020,2020,57,,,,,T401_heroin
nan,"Jefferson County, CO",08059,Not Available,10,2018,2018,20,,,,,T401_heroin
nan,"Jefferson County, CO",08059,Not Available,10,2019,2019,12,,,,,T401_heroin
nan,"Jefferson County, CO",08059,Not Available,10,2020,2020,18,,,,,T401_heroin
nan,"Larimer County, CO",08069,Not Available,10,2018,2018,10,,,,,T401_heroin
nan,"Larimer County, CO",08069,Not Available,10,2019,2019,11,,,,,T401_heroin
nan,"Larimer County, CO",08069,Not Available,10,2020,2020,17,,,,,T401_heroin
nan,"Pueblo County, CO",08101,Not Available,10,2019,2019,10,,,,,T401_heroin
nan,"Pueblo County, CO",08101,Not Available,10,2020,2020,10,,,,,T401_heroin
nan,"Fairfield County, CT",09001,High school graduate or GED completed,3,2021,2021,11,,,,,T401_heroin
nan,"Fairfield County, CT",09001,High school graduate or GED completed,3,2022,2022,17,,,,,T401_heroin
nan,"Fairfield County, CT",09001,High school graduate or GED completed,3,2023,2023,12,,,,,T401_heroin
nan,"Fairfield County, CT",09001,Not Available,10,2018,2018,67,,,,,T401_heroin
nan,"Fairfield County, CT",09001,Not Available,10,2019,2019,64,,,,,T401_heroin
nan,"Fairfield County, CT",09001,Not Available,10,2020,2020,55,,,,,T401_heroin
nan,"Hartford County, CT",09003,High school graduate or GED completed,3,2021,2021,15,,,,,T401_heroin
nan,"Hartford County, CT",09003,Not Available,10,2018,2018,64,,,,,T401_heroin
nan,"Hartford County, CT",09003,Not Available,10,2019,2019,58,,,,,T401_heroin
nan,"Hartford County, CT",09003,Not Available,10,2020,2020,29,,,,,T401_heroin
nan,"Litchfield County, CT",09005,Not Available,10,2018,2018,41,,,,,T401_heroin
nan,"Litchfield County, CT",09005,Not Available,10,2019,2019,38,,,,,T401_heroin
nan,"Litchfield County, CT",09005,Not Available,10,2020,2020,23,,,,,T401_heroin
nan,"Middlesex County, CT",09007,Not Available,10,2018,2018,14,,,,,T401_heroin
nan,"New Haven County, CT",09009,High school graduate or GED completed,3,2021,2021,26,,,,,T401_heroin
nan,"New Haven County, CT",09009,High school graduate or GED completed,3,2022,2022,31,,,,,T401_heroin
nan,"New Haven County, CT",09009,High school graduate or GED completed,3,2023,2023,26,,,,,T401_heroin
nan,"New Haven County, CT",09009,Not Available,10,2018,2018,118,,,,,T401_heroin
nan,"New Haven County, CT",09009,Not Available,10,2019,2019,146,,,,,T401_heroin
nan,"New Haven County, CT",09009,Not Available,10,2020,2020,86,,,,,T401_heroin
nan,"New London County, CT",09011,Not Available,10,2018,2018,20,,,,,T401_heroin
nan,"New London County, CT",09011,Not Available,10,2019,2019,15,,,,,T401_heroin
nan,"Windham County, CT",09015,Not Available,10,2019,2019,10,,,,,T401_heroin
nan,"Kent County, DE",10001,Not Available,10,2018,2018,23,,,,,T401_heroin
nan,"Kent County, DE",10001,Not Available,10,2019,2019,17,,,,,T401_heroin
nan,"Kent County, DE",10001,Not Available,10,2020,2020,17,,,,,T401_heroin
